Column Name,Dtype
Time,timedelta64[ns]
Driver,object
DriverNumber,object
LapTime,timedelta64[ns]
LapNumber,float64
Stint,float64
PitOutTime,timedelta64[ns]
PitInTime,timedelta64[ns]
Sector1Time,timedelta64[ns]
Sector2Time,timedelta64[ns]
Sector3Time,timedelta64[ns]
Sector1SessionTime,timedelta64[ns]
Sector2SessionTime,timedelta64[ns]
Sector3SessionTime,timedelta64[ns]
SpeedI1,float64
SpeedI2,float64
SpeedFL,float64
SpeedST,float64
IsPersonalBest,object
Compound,object
TyreLife,float64
FreshTyre,bool
Team,object
LapStartTime,timedelta64[ns]
LapStartDate,datetime64[ns]
TrackStatus,object
Position,float64
Deleted,bool
DeletedReason,object
FastF1Generated,bool
IsAccurate,bool
