Category,Metric / Time (s),Strategy
Pre‑Race Top 3,4869.033,"[('M', 17), ('H', 15), ('M', 25)]"
Pre‑Race Top 3,4869.033,"[('M', 25), ('H', 15), ('M', 17)]"
Pre‑Race Top 3,4869.406,"[('M', 18), ('H', 15), ('M', 24)]"
Stay‑Out (SC),4333.319,"[('M', 10), ('H', 15), ('M', 25)]"
Pit‑Now Top 3,4289.55,"[('M', 25), ('H', 25)]"
Pit‑Now Top 3,4315.792,"[('M', 8), ('M', 25), ('H', 17)]"
Pit‑Now Top 3,4315.792,"[('M', 8), ('H', 17), ('M', 25)]"
Delta vs Stay‑Out,−43.769,"[('M', 25), ('H', 25)]"
Delta vs Stay‑Out,−17.527,"[('M', 8), ('M', 25), ('H', 17)]"
Delta vs Stay‑Out,−17.527,"[('M', 8), ('H', 17), ('M', 25)]"
